,country,year,div,fa_risky_frac,fl_risky_frac,fa_safe_frac,fl_safe_frac,fdia_frac,fdil_frac,risky_frac_assets,safe_frac_liabilities,weight1,weight2
152,AGO,1996,38.6158717584,0.0,17.8396666953,9.47488140361,49.9171954179,0.0,17.8396666953,0.0,73.6710553899,0.0,0.0
153,AGO,1997,36.8768023597,0.0,17.3723750106,10.4647886194,45.9164410893,0.0,17.3662336178,0.0,72.5506399374,0.0,0.0
154,AGO,1998,41.7962114726,0.0,25.6953644798,6.93861292259,50.9584455428,0.0,25.6772746268,0.0,66.4786858315,0.0,0.0
155,AGO,1999,69.2485260262,0.0,53.22693059,13.7216600262,71.5484614362,0.0,53.1873878191,0.0,57.3418045612,0.0,0.0
156,AGO,2000,30.8100885973,0.0,24.2281786926,9.72200746762,27.6699910343,0.0,24.2060424091,0.0,53.3159284419,0.0,0.0
157,AGO,2001,35.3165272507,0.0,32.4230065474,9.9510790801,28.2589688739,0.0,32.3932049722,0.0,46.5689666127,0.0,0.0
158,AGO,2002,37.0008328651,0.0911001059884,37.4936540347,9.20062171582,27.2162898738,0.0911001059884,37.4414230134,0.980443751281,42.05889888,0.0,0.0
159,AGO,2003,38.3523414589,0.159237001325,43.1448888219,9.3672303953,24.0333266993,0.159237001325,43.0892125059,1.67152203115,35.7754764886,0.0,0.0
160,AGO,2004,31.8282036794,0.191738663768,33.629778753,11.5641544893,18.2707354526,0.184559831895,33.5901317277,1.63100039504,35.203380414,0.0,0.0
161,AGO,2005,28.5530187815,2.54933755555,23.7126435193,15.039316683,15.8047398053,0.475348394909,23.5754357502,14.4942161065,39.9943986054,0.0,0.0
162,AGO,2006,22.070071982,3.73710436208,15.4743952813,16.8428348079,8.08580951268,0.506150329896,15.3667808497,18.1589669979,34.3197760096,0.0,0.0
163,AGO,2007,20.750245943,5.12614128783,10.7066123959,17.8019576822,7.86578052009,1.05943417063,10.6210807059,22.3574631919,42.35200362,0.0,0.0
164,AGO,2008,22.2864589321,4.892253191,9.52114813631,19.8254478699,10.334068667,2.34517391021,9.45291641421,19.792508935,52.0471207612,0.0,0.0
165,AGO,2009,21.3470395928,5.53307120132,9.86037164227,16.5121393884,10.7884969535,2.13480363758,9.76041008753,25.0987450484,52.2473999167,0.0,0.0
166,AGO,2010,23.2438949457,6.50660796744,7.84465123262,19.0952057192,13.0413249722,2.73981738837,7.74841549841,25.4146368186,62.4405813944,0.0,0.0
167,AGO,2011,20.0815878215,5.41684578847,4.81811971453,18.6967997846,11.2314103555,2.84728448072,4.63819328082,22.4638193842,69.9796835577,0.0,0.0
168,,1970,,,,,,,,,,,
169,,1971,,,,,,,,,,,
170,,1972,,,,,,,,,,,
171,,1973,,,,,,,,,,,
172,,1974,,,,,,,,,,,
173,,1975,,,,,,,,,,,
174,,1976,,,,,,,,,,,
175,,1977,,,,,,,,,,,
176,,1978,,,,,,,,,,,
177,,1979,,,,,,,,,,,
178,,1980,,,,,,,,,,,
179,,1981,,,,,,,,,,,
180,,1982,,,,,,,,,,,
181,,1983,,,,,,,,,,,
182,,1984,,,,,,,,,,,15.5781481481
183,,1985,,,,,,,,,,,27.0269341797
184,,1986,,,,,,,,,,,34.4870907967
185,,1987,,,,,,,,,,,42.6700307536
186,,1988,,,,,,,,,,,54.9676730108
187,,1989,,,,,,,,,,,68.3959549213
188,,1990,,,,,,,,0.0,65.4662820392,,75.9025761815
189,,1991,,,,,,,,0.0,60.2396750994,,75.2572339136
190,,1992,,,,,,,,0.0,51.0478538608,,81.3854040896
191,,1993,,,,,,,,0.0,50.535371315,,93.1306333654
192,,1994,,,,,,,,0.0,43.2490756048,,103.192810007
193,,1995,,,,,,,,0.0,36.1807849505,,104.163404777
194,,1996,,,,,,,,0.0,32.9821113221,,109.992136141
195,,1997,,,,,,,,0.0,29.198633228,,123.177769359
196,,1998,,,,,,,,0.0,30.4003169467,,139.208071294
197,,1999,,,,,,,,0.0,27.0715404775,,147.907285065
198,,2000,,,,,,,,0.0,27.8383108201,,148.532851111
199,,2001,,,,,,,,0.0,25.9892489322,,154.1202
200,,2002,,,,,,,,0.0,25.8096209812,,156.217151852
201,,2003,,,,,,,,0.0,29.5745024239,,168.271328889
202,,2004,,,,,,,,0.0,30.2388170712,,199.845187407
203,,2005,,,,,,,,0.0,23.0369191919,,227.95889
204,,2006,,,,,,,,0.0,19.4046179016,,282.630415185
205,,2007,,,,,,,,0.0,21.8907435558,,353.378075926
206,,2008,,,,,,,,0.0,23.1546057963,,352.886788148
207,,2009,,,,,,,,0.0,24.1220416716,,282.504030741
208,,2010,,,,,,,,0.0,24.0255260845,,268.28064963
209,,2011,,,,,,,,0.0,23.9288802112,,296.161897037
210,ATG,1970,,,,,,,,,,0.0,0.0
211,ATG,1971,,,,,,,,,,0.0,0.0
212,ATG,1972,,,,,,,,,,0.0,0.0
213,ATG,1973,,,,,,,,,,0.0,0.0
214,ATG,1974,,,,,,,,,,0.0,0.0
215,ATG,1975,,,,,,,,,,0.0,0.0
216,ATG,1976,,,,,,,,,,0.0,0.0
217,ATG,1977,30.0746175216,0.0,3.2888403334,11.0818412409,45.7785534689,0.0,3.2888403334,0.0,93.2972997371,0.0,0.0
218,ATG,1978,26.6242625209,0.0,0.0,12.2062582008,41.042266841,0.0,0.0,0.0,100.0,0.0,0.0
219,ATG,1979,36.5698072173,0.0,8.45397753682,16.7237727039,47.9618641939,0.0,8.45397753682,0.0,85.0148871709,0.0,0.0
220,ATG,1980,32.9511934974,0.0,20.5401810808,8.96896850591,36.3932374081,0.0,20.5401810808,0.0,63.9224525314,0.0,0.0
221,ATG,1981,43.2497045217,0.0,32.7214763555,10.253689496,43.5242431919,0.0,32.7214763555,0.0,57.0841792172,0.0,0.0
222,ATG,1982,66.5724943343,0.0,54.9356576931,14.6032790542,63.6060519214,0.0,54.9356576931,0.0,53.6571069611,0.0,0.0
223,ATG,1983,92.3478614285,0.0,80.3407235173,18.7541285224,85.6008708173,0.0,80.3407235173,0.0,51.5849393641,0.0,0.0
224,ATG,1984,63.479962074,0.0,52.1697557458,20.8993677722,53.89080063,0.0,52.1697557458,0.0,50.8113501112,0.0,0.0
225,ATG,1985,52.8934633623,0.0,42.7979962271,18.1381753313,44.8507551663,0.0,42.7979962271,0.0,51.171014365,0.0,0.0
226,ATG,1986,123.20392167,0.0,76.1622167129,28.4269530587,141.818673569,0.0,76.1622167129,0.0,65.0601405405,0.0,0.0
227,ATG,1987,279.52775542,0.0,172.947639531,59.0387678551,327.069103455,0.0,172.947639531,0.0,65.4116303189,0.0,0.0
228,ATG,1988,261.561291129,0.0,173.906342638,58.8606853657,290.355554254,0.0,173.906342638,0.0,62.5413276854,0.0,0.0
229,ATG,1989,295.8606563,0.0,215.339673884,52.4238809512,323.957757764,0.0,215.339673884,0.0,60.0703320196,0.0,0.0
230,ATG,1990,805.812528532,0.0,645.616616484,124.447689303,841.560751278,0.0,645.616616484,0.0,56.5877863341,0.0,0.0
231,ATG,1991,435.140580537,0.0,362.584166332,84.6201812778,423.076813464,0.0,362.584166332,0.0,53.8497932752,0.0,0.0
232,ATG,1992,553.634326183,5.65499447525,446.009137674,124.828387218,530.776132997,5.65499447525,446.009137674,4.33388099072,54.3390803418,0.0,0.0
233,ATG,1993,252.255451541,2.80576728782,212.017174946,51.9340667602,237.753894087,2.80576728782,212.017174946,5.12564083654,52.8610909986,0.0,0.0
234,ATG,1994,334.27940676,5.03307219786,269.353352981,80.7162331238,313.456155218,5.03307219786,269.353352981,5.86951950104,53.7836378454,0.0,0.0
235,ATG,1995,226.228974991,2.50359711108,182.356531934,56.4735558681,211.124265068,2.50359711108,182.356531934,4.24502876896,53.6555447373,0.0,0.0
236,ATG,1996,234.568136346,2.56794041153,186.063021332,48.5768301871,231.928480763,2.56794041153,186.063021332,5.02092468394,55.4864105133,0.0,0.0
237,ATG,1997,150.900671634,0.794655088544,122.466794934,28.1729710204,150.366922226,0.794655088544,122.177306122,2.74325236578,55.1130277412,0.0,0.0
238,ATG,1998,47.4586307755,0.168905568856,44.9226303719,11.4824787293,38.3432468809,0.168905568856,44.7480088751,1.44966095474,46.0491718168,0.0,0.0
239,ATG,1999,90.0544612283,0.0,78.4065234343,32.7056279083,68.996771114,0.0,78.1782439571,0.0,46.8081607846,0.0,0.0
240,ATG,2000,122.216914785,0.335685124793,106.365244108,42.9433592884,94.7895410484,0.335685124793,105.406690581,0.775629705657,47.1226876233,0.0,0.0
241,ATG,2001,121.055994912,2.28224966188,110.667141184,43.8756907834,85.2869081942,2.28224966188,109.915382265,4.94443564827,43.523932506,0.0,0.0
242,ATG,2002,187.786922024,6.15434364486,155.585757136,69.8983194473,143.935423819,6.15434364486,155.4898838,8.09221320416,48.0551737142,0.0,0.0
243,ATG,2003,288.214897512,8.48597097183,256.472794933,114.895971717,196.575057403,8.48597097183,251.934766998,6.87780625501,43.3894689908,0.0,0.0
244,ATG,2004,153.933120541,4.16342624067,133.444195325,62.4076071502,107.851012365,4.16342624067,131.727569164,6.25411087766,44.696707157,0.0,0.0
245,ATG,2005,210.30435406,4.56073697731,186.628105236,105.94126062,123.478605286,4.56073697731,181.270930736,4.12728916805,39.8181016716,0.0,0.0
246,ATG,2006,234.366762141,4.2853852035,219.555361075,111.95080873,132.941969273,4.2853852035,213.145451656,3.68679071335,37.714319465,0.0,0.0
247,ATG,2007,574.01126146,8.59141028389,537.618376295,263.132141242,338.680595099,8.59141028389,500.831723706,3.16182025285,38.6489778209,0.0,0.0
248,ATG,2008,508.961993458,6.70811166063,480.232381039,231.888973997,299.09452022,6.70811166063,447.720144705,2.811480971,38.3785699861,0.0,0.0
249,ATG,2009,25747.426246,329.602430172,23861.9380427,11826.8220007,15476.4900185,329.602430172,22346.1019777,2.71134355375,39.3419126825,0.0,0.0
250,ATG,2010,550.583421158,6.97027236598,543.740262146,283.198468414,267.25783939,6.97027236598,511.315844695,2.40214447196,32.9541880411,0.0,0.0
251,ATG,2011,4405.00672053,47.3009553819,4039.09708858,2086.36821601,2637.24718108,47.3009553819,3791.21755145,2.21688329269,39.5013659356,0.0,0.0
252,ARG,1970,8.79383912116,0.0,3.4445917979,2.72856845874,11.4145179857,0.0,3.4445917979,0.0,76.8183165205,58008.4797542,31399.1762012
253,ARG,1971,6.87414187999,0.0,2.63654725859,1.76326460563,9.34847189576,0.0,2.63654725859,0.0,78.0013095963,74914.9399465,39817.4739836
254,ARG,1972,4.65561422572,0.0,1.62451764442,1.46796050469,6.21875030234,0.0,1.62451764442,0.0,79.2877451663,117922.079403,59670.0791293
255,ARG,1973,3.1070627776,0.0,0.936737921517,1.45969617442,3.81769145927,0.0,0.936737921517,0.0,80.2975741884,199535.123599,98934.5456548
256,ARG,1974,2.43423027776,0.0,0.69481180295,1.19353818789,2.98011056467,0.0,0.69481180295,0.0,81.0931569855,268179.705564,130682.614459
257,ARG,1975,5.68488487957,0.0,1.63246240601,2.64302505192,7.09428230121,0.0,1.63246240601,0.0,81.2935698158,118155.424485,54117.8850029
258,ARG,1976,5.62254657445,0.0261026590028,1.33606005303,3.3561528886,6.52677754827,0.0,1.24896212238,0.771753010244,83.007914944,152101.826776,69677.3818473
259,ARG,1977,7.13241687107,0.0242652897664,1.35402031834,5.01670803053,7.86984010349,0.0,1.31356260929,0.481361201987,85.3204595861,154565.80044,67672.1435949
260,ARG,1978,6.18569103461,0.0199242663314,1.095104616,4.84847194105,6.40788124583,0.0,1.03202747231,0.409257288904,85.4044158397,216351.894408,88315.3163627
261,ARG,1979,6.17762310115,0.0139419407492,0.804503028856,5.51137897029,6.0254222624,0.0,0.672141202489,0.252328162901,88.2209102655,356042.656035,143312.203325
262,ARG,1980,4.49346830458,0.00937888382635,0.63708966532,3.2153769931,5.12509106691,0.0,0.558434297626,0.29084011889,88.9436014779,546639.806793,208996.690196
263,ARG,1981,5.9794439989,0.0113175717367,0.854940830592,3.32899302974,7.76363656574,0.0,0.813135298528,0.338817945004,90.0802558093,483714.174799,169742.098394
264,ARG,1982,14.9041835074,0.0281830282332,1.91791238328,7.20602262214,20.6562489812,0.0,1.88295558762,0.389580136304,91.5039484643,241459.410636,84288.5234724
265,ARG,1983,13.6459310223,0.0305037654598,1.67111905212,7.73642491867,17.8538143083,0.000792305596358,1.62804632895,0.392739095469,91.4411024034,282108.330902,103978.519426
266,ARG,1984,12.2926976219,0.0280899736179,1.5623736755,6.64024670497,16.3546848897,0.000702249340448,1.52832544383,0.421244081873,91.2799655713,316835.390164,116746.480907
267,ARG,1985,16.6132754253,0.0609952445452,2.32930899014,9.92537866036,20.9108679555,0.000970288167457,2.25571259556,0.610784706501,89.9772321201,260375.446527,88178.533025
268,ARG,1986,13.6793054347,0.123451665966,2.1128687364,7.48421050645,17.6380799605,0.000944863675694,2.068288,1.62272802299,89.3024443088,309406.744251,106033.970281
269,ARG,1987,14.4458078356,0.189620305785,2.00293268915,7.97008502904,18.7289776472,0.000955925448344,1.95511313831,2.32386217399,90.3388898724,327577.152802,108713.688191
270,ARG,1988,12.6363390804,0.238279780156,1.9254623218,8.0900985762,15.0188374826,0.000871247371198,1.84906886948,2.86105853938,88.6365188056,395285.523356,127337.287244
271,ARG,1989,20.5204563101,0.456577256863,3.08544860346,14.8049258205,22.6939609394,0.000615814153673,2.91111325051,2.99169259115,88.0313449448,290861.189864,81697.4286766
272,ARG,1990,12.7648198892,0.233046526183,2.11984455054,10.4719674672,12.7047812344,0.000606260682998,2.02409837492,2.17698478793,85.7005189791,479745.211051,141345.80026
273,ARG,1991,11.4215600122,0.216907433558,2.35019536306,9.71266007119,10.5633571565,0.000519947638715,1.94658364724,2.18446003267,81.8005513239,609658.568026,189606.261457
274,ARG,1992,10.4421731856,0.331301481372,2.59055089019,8.85678835027,9.10570564928,0.16621408978,2.31816966582,3.60577103013,77.8514528862,720902.9133,228790.577213
275,ARG,1993,12.04207721,0.512217091657,3.86052949737,9.84942960547,9.86197822541,0.245722168667,2.48452618249,4.94339468069,71.8671719822,770479.39167,236520.0
276,ARG,1994,11.8445238988,0.648724009975,3.86960852991,8.81864833818,10.3520669196,0.351271925247,2.667915303,6.8522076255,72.7907689664,880625.726682,257358.75
277,ARG,1995,12.1256381423,0.806763376869,4.13178711672,8.83708314962,10.4756426414,0.474161050535,2.92141427928,8.36557668823,71.7144823891,1005690.89864,258216.5
278,ARG,1996,13.0026429413,0.974953015881,4.62503995636,9.43387282831,10.9714200821,0.59251187453,3.28301109431,9.36659936937,70.3455787727,1076176.11103,272082.5
279,ARG,1997,14.5023002424,1.3321866147,5.70342845959,10.1102562037,11.8587292068,0.871277087329,3.92491254589,11.6425018315,67.5243294819,1137831.79651,292760.5
280,ARG,1998,15.1602189701,1.63989264171,5.63112239553,9.95283049855,13.0965924044,1.05296913719,4.33667135203,14.1458794614,69.9316096187,1183290.54056,298931.0
281,ARG,1999,15.8511950553,1.77483028615,6.29918639508,10.3484141035,13.2799593258,1.06103517007,5.54936612801,14.6398953045,67.8270620951,1202246.05217,283655.0
282,ARG,2000,15.8457300779,1.74075831677,6.31469778584,10.3285570213,13.307447032,1.06969629173,5.99317641661,14.4230080002,67.8185140082,1216181.68076,284409.5
283,ARG,2001,16.0242052061,1.68731845481,7.46761042409,9.04075364744,13.8527278858,1.0646288092,7.26601521631,15.7280678087,64.9742404855,1210082.26545,268964.0
284,ARG,2002,36.7179144198,4.1715652183,10.5306023787,24.3501213093,34.3835399334,2.55194555666,10.3243176756,14.6259416121,76.553927479,486416.077615,97402.8400208
285,ARG,2003,32.104863486,3.88180468272,9.68737191147,21.2576575127,29.3828928651,2.44638694184,9.27842377095,15.4410808495,75.2052565631,592614.492495,127545.076401
